mensa_id,date,meal_id,name,category,price_student,notes
Mensa Erlenring,2012-08-20,66014,Bunter Salatteller mit Käsestreifen und einem Brötchen,Tagesgericht,,[]
Mensa Erlenring,2012-08-20,66013,Rinderschmorbraten in Rotweinsauce,Menü 3,,[]
Mensa Erlenring,2012-08-20,66012,Hokifischfilet auf Basilikum-Meerrettichsauce,Menü,,[]
Mensa Erlenring,2012-08-21,66017,Getreide-Crossies mit Kräuterquark und Reis dazu gemischter Salat,Tagesgericht,,[]
Mensa Erlenring,2012-08-21,66016,"Rinderhacksteak ""Esterhazy"" mit Sauce",Menü 3,,[]
Mensa Erlenring,2012-08-21,66015,Gyros aus der Pfanne mit Tzatziki,Menü,,[]
Mensa Erlenring,2012-08-22,66020,Asiatische Gemüsepfanne mit Sojawürfeln und Glasnudeln,Menü vegetarisch,,[]
Mensa Erlenring,2012-08-22,66019,Hacksteak mit Ananas und Käse überbacken dazu Pommes frites und Salatbeilage,Tagesgericht,,[]
Mensa Erlenring,2012-08-22,66018,Gebackene Hähnchenschnitte mit Tomaten-Thymiansauce,Menü 3,,[]
Mensa Erlenring,2012-08-23,66023,Frühlingsrolle mit Gemüsefüllung dazu Tomatensauce,Menü vegetarisch,,[]
Mensa Erlenring,2012-08-23,66022,Bunter Salatteller mit gegrilltem Schweinesteak und einem Brötchen,Tagesgericht,,[]
Mensa Erlenring,2012-08-23,66021,Halbes Hähnchen vom Grill,Menü 3,,[]
Mensa Erlenring,2012-08-24,66026,Bunte Paprikapfanne mit Bambussprossen und Dinkel,Menü vegetarisch,,[]
Mensa Erlenring,2012-08-24,66025,Eiernudeln mit Carbonarasauce und Parmesan dazu Salat,Tagesgericht,,[]
Mensa Erlenring,2012-08-24,66024,Fischfilet mit Remouladensauce,Menü 3,,[]
Mensa Erlenring,2012-08-27,166396,"Bunter Salatteller mit Schafskäse, Oliven und Tomaten dazu ein Brötchen",Tagesgericht,,[]
Mensa Erlenring,2012-08-27,166395,Gebackenes Hähnchenbrustfilet mit Käsesauce,Menü 3,,[]
Mensa Erlenring,2012-08-27,166394,Schweinerückensteak mit Senfsauce,Menü,,[]
Mensa Erlenring,2012-08-28,166399,Gefüllte Zucchinischiffchen mit Tomatensauce,Menü vegetarisch,,[]
Mensa Erlenring,2012-08-28,166398,Kartoffel-Gemüserösti mit Schinkenstreifen und Sauerrahmsauce,Tagesgericht,,[]
Mensa Erlenring,2012-08-28,166397,Rinderragout mit Pilzen,Menü,,[]
Mensa Erlenring,2012-08-29,166402,Spaghetti mit Petersilienpesto dazu Salat und ein Stück Obst,Tagesgericht,,[]
Mensa Erlenring,2012-08-29,166401,Gebratene Putenbrust mit Rahmsauce,Menü 3,,[]
Mensa Erlenring,2012-08-29,166400,Schweinegeschnetzeltes mit Pilzen und Gewürzgurken,Menü,,[]
Mensa Erlenring,2012-08-30,166405,Austernpilzpfanne mit Schupfnudeln dazu Kräuterdipp (vegan),Menü vegetarisch,,[]
Mensa Erlenring,2012-08-30,166404,Currywurst mit Tomatensauce und Pommes-frites dazu Salatbeilage,Tagesgericht,,[]
Mensa Erlenring,2012-08-30,166403,Putenkeulenfleisch mit Rahmsauce,Menü 3,,[]
Mensa Erlenring,2012-08-31,166408,Salatteller mit Tofuwürfeln und verschiedenen Dressings dazu ein Brötchen,Tagesgericht,,[]
Mensa Erlenring,2012-08-31,166407,Gebackenes Seelachsfilet mit Remouladensauce,Menü 3,,[]
Mensa Erlenring,2012-08-31,166406,Hähnchenspieß mit Paprikasauce,Menü,,[]
Mensa Erlenring,2012-09-03,166411,Asiatische Gemüsepilzpfanne mit Sojawürfeln,Menü vegetarisch,2.85,"['mit Konservierungsstoff', 'mit  Antioxidationsmittel', 'mit Geschmacksverstärker']"
