mensa_id,date,meal_id,name,category,price_student,notes
Mensa Lahnberge,2012-08-20,66044,Bunter Salatteller mit Käsestreifen und einem Brötchen,Tagesgericht,,[]
Mensa Lahnberge,2012-08-20,66043,Rinderschmorbraten in Rotweinsauce,Menü 3,,[]
Mensa Lahnberge,2012-08-20,66042,Hokifischfilet auf Basilikum-Meerrettichsauce,Menü,,[]
Mensa Lahnberge,2012-08-21,66047,Spinat-Käseknödel mit Tomatensauce und Reis dazu gemischter Salat,Tagesgericht,,[]
Mensa Lahnberge,2012-08-21,66046,Geschmortes Rindersteak mit Gemüsestreifen,Menü 3,,[]
Mensa Lahnberge,2012-08-21,66045,Gyros aus der Pfanne mit Tzatziki,Menü,,[]
Mensa Lahnberge,2012-08-22,66050,Asiatische Gemüsepfanne mit Sojawürfeln und Glasnudeln,Menü vegetarisch,,[]
Mensa Lahnberge,2012-08-22,66049,Hacksteak mit Ananas und Käse überbacken dazu Pommes frites und Salatbeilage,Tagesgericht,,[]
Mensa Lahnberge,2012-08-22,66048,Gebackene Hähnchenschnitte mit Tomaten-Thymiansauce,Menü 3,,[]
Mensa Lahnberge,2012-08-23,66053,Frühlingsrolle mit Gemüsefüllung dazu Tomatensauce,Menü vegetarisch,,[]
Mensa Lahnberge,2012-08-23,66052,Bunter Salatteller mit gegrilltem Schweinesteak und einem Brötchen,Tagesgericht,,[]
Mensa Lahnberge,2012-08-23,66051,Halbes Hähnchen vom Grill,Menü 3,,[]
Mensa Lahnberge,2012-08-24,66056,Bunte Paprikapfanne mit Bambussprossen und Dinkel,Menü vegetarisch,,[]
Mensa Lahnberge,2012-08-24,66055,Eiernudeln mit Carbonarasauce und Parmesan dazu Salat,Tagesgericht,,[]
Mensa Lahnberge,2012-08-24,66054,Fischfilet mit Remouladensauce,Menü 3,,[]
Mensa Lahnberge,2012-08-27,165307,"Bunter Salatteller mit Schafskäse, Oliven und Tomaten dazu ein Brötchen",Tagesgericht,,[]
Mensa Lahnberge,2012-08-27,165306,Gebackenes Hähnchenbrustfilet mit Käsesauce,Menü 3,,[]
Mensa Lahnberge,2012-08-27,165305,Schweinerückensteak mit Senfsauce,Menü,,[]
Mensa Lahnberge,2012-08-28,165310,Gefüllte Zucchinischiffchen mit Tomatensauce,Menü vegetarisch,,[]
Mensa Lahnberge,2012-08-28,165309,Kartoffel-Gemüserösti mit Schinkenstreifen und Sauerrahmsauce,Tagesgericht,,[]
Mensa Lahnberge,2012-08-28,165308,Rinderragout mit Pilzen,Menü,,[]
Mensa Lahnberge,2012-08-29,165313,Spaghetti mit Petersilienpesto dazu Salat und ein Stück Obst,Tagesgericht,,[]
Mensa Lahnberge,2012-08-29,165312,Gebratene Putenbrust mit Rahmsauce,Menü 3,,[]
Mensa Lahnberge,2012-08-29,165311,Schweinegeschnetzeltes mit Pilzen und Gewürzgurken,Menü,,[]
Mensa Lahnberge,2012-08-30,165316,Austernpilzpfanne mit Schupfnudeln dazu Kräuterdipp (vegan),Menü vegetarisch,,[]
Mensa Lahnberge,2012-08-30,165315,Currywurst mit Tomatensauce und Pommes-frites dazu Salatbeilage,Tagesgericht,,[]
Mensa Lahnberge,2012-08-30,165314,Putenkeulenfleisch mit Rahmsauce,Menü 3,,[]
Mensa Lahnberge,2012-08-31,165319,Salatteller mit Tofuwürfeln und verschiedenen Dressings dazu ein Brötchen,Tagesgericht,,[]
Mensa Lahnberge,2012-08-31,165318,Gebackenes Seelachsfilet mit Remouladensauce,Menü 3,,[]
Mensa Lahnberge,2012-08-31,165317,Hähnchenspieß mit Paprikasauce,Menü,,[]
Mensa Lahnberge,2012-09-03,165322,Asiatische Gemüsepilzpfanne mit Sojawürfeln,Menü vegetarisch,2.85,"['mit Konservierungsstoff', 'mit  Antioxidationsmittel', 'mit Geschmacksverstärker']"
Mensa Lahnberge,2012-09-03,165321,"Bunter Salatteller mit Käse, Schinken und Ei",Tagesgericht,2.45,"['mit Konservierungsstoff', 'mit Schweinefleisch', 'mit  Antioxidationsmittel']"
Mensa Lahnberge,2012-09-03,165320,"Geröstete Putenbruststreifen ""türkische Art"" mit Chilisauce",Menü,2.85,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mensa Lahnberge,2012-09-04,165325,Gebackener Hetaxkäse mit Joghurtdipp,Menü vegetarisch,2.35,[]
Mensa Lahnberge,2012-09-04,165324,Limonen-Gemüsespaghetti mit Ruccolapesto und Salatbeilage,Tagesgericht,2.05,[]
Mensa Lahnberge,2012-09-04,165323,"Rinderhacksteak mit Tomaten, Zwiebeln und Oliven",Menü 3,2.55,[]
Mensa Lahnberge,2012-09-05,165328,Geräuchertes Tofusteak (vegan) mit Asiadipp,Menü vegetarisch,2.95,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mensa Lahnberge,2012-09-05,165327,Bunter Salatteller mit Mozzarella und Salamistreifen,Tagesgericht,2.05,"['mit Farbstoff', 'mit Konservierungsstoff', 'mit Schweinefleisch', 'mit  Antioxidationsmittel']"
Mensa Lahnberge,2012-09-05,165326,Gebackenes Hähnchenschnitzel mit Kräutersauce,Menü 3,2.95,[]
Mensa Lahnberge,2012-09-06,165331,Gemüselasagne mit Sahnesauce,Menü vegetarisch,2.45,[]
Mensa Lahnberge,2012-09-06,165330,Hähnchenkeule mit Currysauce dazu Pommes frites und Salat,Tagesgericht,2.05,[]
Mensa Lahnberge,2012-09-06,165329,Gebackenes Schweineschnitzel mit Paprika-Rahmsauce,Menü 3,3.05,['mit Schweinefleisch']
Mensa Lahnberge,2012-09-07,165334,Gemüsepfanne mit Schupfnudeln und grüner Sauce,Menü vegetarisch,2.55,['mit  Antioxidationsmittel']
Mensa Lahnberge,2012-09-07,165333,2 Fischfrikadellen mit Remouladensauce und Kartoffelsalat dazu 1 Stück Obst,Tagesgericht,1.95,"['mit Konservierungsstoff', 'mit Süßungsmittel']"
Mensa Lahnberge,2012-09-07,165332,Gegrilltes Schweinerückensteak mit feueriger Paprika-Pepperonisauce,Menü 3,2.95,['mit Schweinefleisch']
Mensa Lahnberge,2012-09-10,172681,Getreide-Goreng mit kalter Chilisauce,Menü vegetarisch,2.3,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mensa Lahnberge,2012-09-10,172680,"Pasta mit Spargel, Tomaten, Tomatensauce und gemischtem Salat",Tagesgericht,2.15,[]
Mensa Lahnberge,2012-09-10,172679,Putenbraten in Rahmsauce,Menü 3,2.7,[]
Mensa Lahnberge,2012-09-11,172684,Salatteller mit Mozzarella und verschiedenen Dressings,Tagesgericht,2.0,[]
Mensa Lahnberge,2012-09-11,172683,Gedünstetes Seelachsfilet mit Tomatensauce,Menü 3,3.05,['mit Alkohol']
Mensa Lahnberge,2012-09-11,172682,Gegrilltes Hähnchenbrustfilet dazu Kokos-Currysauce,Menü,2.95,[]
Mensa Lahnberge,2012-09-12,174466,Geschnetzeltes von der Putenbrust mit Champignons,Menü,3.0,[]
Mensa Lahnberge,2012-09-12,172687,Vollwert Gemüsepuffer mit einem Stück Obst dazu Salatbeilage,Tagesgericht,2.1,[]
Mensa Lahnberge,2012-09-12,172686,Gnocchi mit Pestofüllung und Tomatensauce dazu Salatbeilage und ein Stück Obst,Menü 3,2.65,[]
Mensa Lahnberge,2012-09-13,172690,Zwei Spinatknödel mit Tomatensauce,Menü vegetarisch,2.45,[]
Mensa Lahnberge,2012-09-13,172689,Bunter Salatteller mit Geflügelstreifen und Weißbrot,Tagesgericht,2.2,['mit  Antioxidationsmittel']
Mensa Lahnberge,2012-09-13,172688,Gegrilltes Schweinerückensteak mit Zwiebeln und Pilzen,Menü,2.95,['mit Schweinefleisch']
Mensa Lahnberge,2012-09-14,172693,Kartoffel Cordon bleu mit Vollkornsauce,Menü vegetarisch,2.45,[]
Mensa Lahnberge,2012-09-14,172692,Hacksteak mit Zwiebelsauce und Salzkartoffeln dazu Erbsengemüse,Tagesgericht,1.9,['mit Schweinefleisch']
Mensa Lahnberge,2012-09-14,172691,Fischfilet im Backteig dazu Tomatensauce,Menü 3,3.05,[]
Mensa Lahnberge,2012-09-17,192397,Kartoffelauflauf Moussaka mit kalter Kräutersauce,Menü vegetarisch,2.3,[]
Mensa Lahnberge,2012-09-17,192396,"Salatteller mit Ei, Tomate und Chicken Wings dazu Knoblauchbaguette",Tagesgericht,2.15,[]
Mensa Lahnberge,2012-09-18,192400,"Gebratener Reis mit Kokos, Chinakohl und Sojasprossen dazu süß-saurer Dipp",Menü vegetarisch,2.65,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mensa Lahnberge,2012-09-18,192399,Hühnerragout in einer Blätterteigpastete mit Reis und Salat,Tagesgericht,2.35,"['mit Alkohol', 'mit Farbstoff']"
Mensa Lahnberge,2012-09-19,192403,Eierpfannkuchen mit Gemüsefüllung und kalter Currysauce,Menü vegetarisch,2.45,[]
Mensa Lahnberge,2012-09-19,192402,Salatteller mit Hetaxkäse und Salamistreifen dazu Brötchen,Tagesgericht,2.35,[]
Mensa Lahnberge,2012-09-19,192401,Hähnchenkeule in Rotweinsauce,Menü,2.35,['mit Alkohol']
Mensa Lahnberge,2012-09-20,192406,Hausgemachter Getreidebratling mit Zucchini und Auberginen,Menü vegetarisch,2.85,[]
Mensa Lahnberge,2012-09-20,192405,Hausgemachte Frikadelle mit Käse und Tomate überbacken dazu Pommes-frites und gemischter Salat,Tagesgericht,2.05,['mit Schweinefleisch']
Mensa Lahnberge,2012-09-20,192404,Tortellini mit Käsefüllung und gebratenen Putenstreifen dazu Käsesauce,Menü 3,2.25,[]
Mensa Lahnberge,2012-09-21,192409,Gemüsepfanne aus dem Mittelmeerraum mit Joghurtdipp,Menü vegetarisch,2.35,[]
Mensa Lahnberge,2012-09-21,192408,Frankfurter Würstchen mit Kartoffelsalat und Fruchtkompott,Tagesgericht,1.95,"['mit Konservierungsstoff', 'mit Schweinefleisch', 'mit  Antioxidationsmittel', 'mit Süßungsmittel']"
Mensa Lahnberge,2012-09-21,192407,Rinderragout mit Mais und Tomaten,Menü,2.75,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mensa Lahnberge,2012-09-24,214633,Cous-cous mit Ratatouillegemüse und Schafskäse dazu Joghurt- Kräuterdipp,Menü vegetarisch,2.4,[]
Mensa Lahnberge,2012-09-24,214632,Hühnerfrikasse nach indischer Art in Currysauce mit Ananas dazu Reis und gemischter Salat,Tagesgericht,2.0,[]
Mensa Lahnberge,2012-09-24,214631,"Rinderschmorbraten mit Perlzwiebeln, Oliven, Tomaten in Rotweinsauce",Menü 3,2.95,['mit Alkohol']
Mensa Lahnberge,2012-09-25,214636,Salatteller mit Tofu und gebackenen Früchten dazu ein Brötchen,Tagesgericht,2.0,[]
Mensa Lahnberge,2012-09-25,214635,Cordon-bleu von der Hähnchenbrust mit Rahmsauce,Menü 3,2.85,"['mit Konservierungsstoff', 'mit  Antioxidationsmittel']"
Mensa Lahnberge,2012-09-25,214634,Gebratenes Seelachsfilet mit Gemüse-Currysauce,Menü,2.95,[]
Mensa Lahnberge,2012-09-26,214639,Möhrenschnitzel mit Käsesauce,Menü vegetarisch,2.3,['mit Konservierungsstoff']
Mensa Lahnberge,2012-09-26,214638,Hackfleischbällchen in feuriger Paprikasauce mit Butterreis und gemischtem Salat,Tagesgericht,2.1,['mit Schweinefleisch']
Mensa Lahnberge,2012-09-26,214637,"Putensteak ""Hawaii"" mit Ananas und Käse überbacken",Menü 3,3.0,[]
Mensa Lahnberge,2012-09-27,214642,"Wellnesspfanne ""Hellas"" mit Sauerrahmdipp dazu Salatbeilage und Fruchtkompott",Tagesgericht,2.25,[]
Mensa Lahnberge,2012-09-27,214641,Rindergeschnetzeltes mit Pilzen und Paprika in Rahmsauce,Menü 3,2.95,[]
Mensa Lahnberge,2012-09-27,214640,Gebackenes Schollenfilet mit Remouladensauce,Menü,2.85,"['mit Konservierungsstoff', 'mit Süßungsmittel']"
Mensa Lahnberge,2012-09-28,214645,"Kartoffelschnitte ""Spreewälder Art"" mit Käsesauce",Menü vegetarisch,2.55,"['mit Konservierungsstoff', 'mit Phosphat', 'mit Schweinefleisch']"
Mensa Lahnberge,2012-09-28,214643,Putenbraten in Rahmsauce,Menü 3,2.85,[]
Mensa Lahnberge,2012-09-28,214644,Salatteller mit gerösteten Gefügelstreifen dazu ein Brötchen,Tagesgericht,2.25,[]
Mensa Lahnberge,2012-10-01,239088,Bunter Salatteller mit Käsestreifen und ein Brötchen,Tagesgericht,2.0,[]
Mensa Lahnberge,2012-10-01,239087,Rinderschmorbraten in Burgundersauce,Menü 3,3.15,['mit Alkohol']
Mensa Lahnberge,2012-10-01,239086,Hoki-Fischfilet auf Basilikum-Meerrettichsauce,Menü,2.85,['mit  Antioxidationsmittel']
Mensa Lahnberge,2012-10-02,233248,Gyros aus der Pfanne mit Tzatziki,Menü,3.0,['mit Schweinefleisch']
Mensa Lahnberge,2012-10-02,239090,Spinat-Käse-Knödel mit Tomatensauce dazu Reis mit gemischtem Salat,Tagesgericht,1.9,[]
Mensa Lahnberge,2012-10-02,239089,"Rinderhacksteak ""Esterhazy""",Menü 3,2.95,[]
Mensa Lahnberge,2012-10-04,233252,Bunter Salatteller mit gegrilltem Schweinesteak und einem Brötchen,Tagesgericht,2.25,['mit Schweinefleisch']
Mensa Lahnberge,2012-10-04,233251,Halbes Hähnchen vom Grill,Menü 3,3.05,[]
Mensa Lahnberge,2012-10-04,237668,Frühlingsrolle mit Gemüsefüllung dazu Tomatensauce,Menü vegetarisch,2.45,[]
Mensa Lahnberge,2012-10-05,239091,Bunte Paprikapfanne mit Bambussprossen und Dinkel,Menü vegetarisch,2.85,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mensa Lahnberge,2012-10-08,244592,Eierspiralnudeln mit Schinken* dazu Tomatensauce und Salatbeilage,Tagesgericht,1.95,"['mit Konservierungsstoff', 'mit Schweinefleisch', 'mit  Antioxidationsmittel']"
Mensa Lahnberge,2012-10-08,242656,Schweineschnitzel mit Pommes-frites und gemischtem Salat,Tellergericht Schnitzel,3.05,['mit Schweinefleisch']
Mensa Lahnberge,2012-10-08,242655,"Kartoffelauflauf ""Moussaka Art"" mit Joghurtdipp",Menü vegetarisch,2.65,[]
Mensa Lahnberge,2012-10-08,242653,"Hähnchenfleischstreifen ""türkische Art"" mit Gemüsestreifen dazu Chilisauce",Menü,3.05,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Mensa Lahnberge,2012-10-09,244594,Hühnersuppentopf mit Nudeln dazu ein Brötchen,Tagesgericht,2.0,[]
Mensa Lahnberge,2012-10-09,244593,Gebratener Fleischkäse mit Pfefferrahmsauce,Menü,2.35,['mit Schweinefleisch']
Mensa Lahnberge,2012-10-09,242660,Schweineschnitzel mit Pommes-frites und gemischtem Salat,Tellergericht Schnitzel,3.05,['mit Schweinefleisch']
Mensa Lahnberge,2012-10-09,242659,Spinatklöße mit Grünkern und Soja dazu Curryrahmsauce mit Mango,Menü vegetarisch,2.35,[]
Mensa Lahnberge,2012-10-10,244596,Bunte Tortellini mit Rindfleischbolognese und Tomatensauce dazu Salatbeilage,Tagesgericht,1.95,[]
Mensa Lahnberge,2012-10-10,244595,Gebackenes Putenschnitzel mit Basilikumsauce,Menü,2.85,['mit Alkohol']
Mensa Lahnberge,2012-10-10,242664,Schweineschnitzel mit Pommes-frites und gemischtem Salat,Tellergericht Schnitzel,3.05,['mit Schweinefleisch']
Mensa Lahnberge,2012-10-10,242663,Kürbis-Gemüseragout mit Getreidereis,Menü vegetarisch,2.75,[]
Mensa Lahnberge,2012-10-11,249335,Bratwurst mit Sauce dazu Salatbeilage,Menü 3,2.75,['mit Schweinefleisch']
Mensa Lahnberge,2012-10-11,244598,Hackfleischröllchen vom Rind mit Tzatziki und Pommes frites dazu Weißkrautsalat,Tagesgericht,1.95,['mit  Antioxidationsmittel']
Mensa Lahnberge,2012-10-11,244597,"Hähnchenschnitzel ""Cordon bleu"" mit Pilzrahmsauce dazu Mischsalat und Reis",Menü,2.95,['mit Konservierungsstoff']
Mensa Lahnberge,2012-10-11,242668,Schweineschnitzel mit Pommes-frites und gemischtem Salat,Tellergericht Schnitzel,3.05,['mit Schweinefleisch']
Mensa Lahnberge,2012-10-11,242667,Frische Champignonköpfe mit Kräuterrahmsauce,Menü vegetarisch,2.75,['mit Alkohol']
Mensa Lahnberge,2012-10-12,244600,Nürnberger Rostbratwürstchen auf Sauerkraut mit Speck dazu Kartoffelbrei,Tagesgericht,2.1,"['mit Alkohol', 'mit Schweinefleisch']"
Mensa Lahnberge,2012-10-12,244599,Frischer Seelachs im Backteig mit Tomatensauce,Menü,3.0,[]
