mensa_id,date,meal_id,name,category,price_student,notes
Philipps Bistro,2012-08-20,66075,"Entenbruststreifen ""Hongkong"" mit süß-saurer Sauce",Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-20,66074,Lachsfilet mit Zitronenbutter,Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-20,66073,Eierpfannkuchen mit Gemüsefüllung dazu Salatbeilage und Butterreis,Fleischlos Abend,,[]
Philipps Bistro,2012-08-20,66072,Hähnchenspieß mit Paprika-Currysauce dazu Butterreis und Salatbeilage,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-21,66079,"Putensteak ""au four"" dazu Rahmsauce",Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-21,66078,Limandefilet in Eihülle gebacken mit Tomatensauce,Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-21,66077,Tortellini mit Gemüsefüllung dazu Salatbeilage und Joghurtspeise,Fleischlos Abend,,[]
Philipps Bistro,2012-08-21,66076,Putensteak mit Rahmchampignons dazu Butterreis und Salatbeilage,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-22,66083,Schweinelendchen mit Lauchsauce,Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-22,66082,Hokifilet auf Gemüsebett dazu Sauce Choron,Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-22,66081,"Gemüsepfanne ""Peking"" mit Nudeln dazu Salatbeilage",Fleischlos Abend,,[]
Philipps Bistro,2012-08-22,66080,Gyros von der Pute mit Knoblauchdipp dazu Pommes frites und Salatbeilage,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-23,66087,"Putengeschnetzeltes ""Asia Art""",Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-23,66086,Heilbuttsteak dazu Kräuterbutter,Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-23,66085,Gnocchi -Brokkoli - Auflauf überbacken mit Sauce hollandaise dazu Salatbeilage und Dessert,Fleischlos Abend,,[]
Philipps Bistro,2012-08-23,66084,Pfefferhacksteak vom Rind dazu Pommes frites und Salatbeilage,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-24,66091,Schweinesteak mit Tomate und Käse überbacken,Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-24,66090,"Fischteller ""Borkum"" mit Salat und Sauce",Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-24,66089,Vegetarische Frühlingsrolle mit Tomatensauce dazu Butterreis und Joghurtspeise,Fleischlos Abend,,[]
Philipps Bistro,2012-08-24,66088,Hähnchenbruststreifen mit Pilzen und Paprika dazu Kroketten und Salatbeilage,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-25,66093,Grünkernbratling mit Sauce bearnaise und Schupfnudeln dazu Salatbeilage,Menü vegetarisch,,[]
Philipps Bistro,2012-08-25,66092,Hähnchen Crossis mit kalter Knoblauchsauce und Lyoner Bratkartoffeln dazu Salatbeilage,Menü,,[]
Philipps Bistro,2012-08-27,171093,Rumpsteak rosa gebraten mit Sauce Bearnaise,Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-27,171092,Lachsschnitte gebraten dazu Weißweinsauce,Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-27,171091,Vegetarisch gefüllte Tortellini auf Gemüsebett mit Fruchtjoghurt und Käsesauce dazu Salatbeilage,Fleischlos Abend,,[]
Philipps Bistro,2012-08-27,171090,Putenfrikadelle mit Pilzrahmsauce dazu Pommes frites und Salatbeilage,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-28,171097,Hähnchenbrustfilet in Sesampanade mit Tomatensauce,Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-28,171096,Tilapiafilet in Eimantel dazu Lauchsauce,Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-28,171095,Gefüllte Zucchini mit Sauce,Fleischlos Abend,,[]
Philipps Bistro,2012-08-28,171094,Panierte Hähnchenbrust mit Käse und Tomate überbacken,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-29,171101,Schweinemedaillons in Kartoffelmantel mit Beilage und Rahmsauce,Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-29,171100,"Fischteller ""Anastasia"" auf Blattspinat dazu Sauce Hollandaise",Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-29,171099,veg. Schupfnudel- Pfanne mit Tomatensauce dazu Salatbeilage und Quarkspeise,Fleischlos Abend,,[]
Philipps Bistro,2012-08-29,171098,Chicken Wings mit Chili Dipp dazu Bratkartoffeln und Salat,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-30,171105,Hähnchenfiletstreifen süß-sauer dazu Chinagemüse,Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-30,171104,Red Snapper mit Früchten in Curryrahmsauce,Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-30,171103,Vegetarisches Thai- Gemüsecurry mit Butterreis und Salatbeilage,Fleischlos Abend,,[]
Philipps Bistro,2012-08-30,171102,Geschnetzeltes von der Putenbrust mit Früchten dazu Kartoffelkroketten und Salatbeilage,Fleischgericht Abend,,[]
Philipps Bistro,2012-08-31,171109,Gefüllter Schweinerücken mit Champignons à la creme,Bistro Gourmet Fleisch,,[]
Philipps Bistro,2012-08-31,171108,Forelle in Mandelhülle gebraten mit zerlassener Butter,Bistro Gourmet Fisch,,[]
Philipps Bistro,2012-08-31,171107,Kartoffel Cordon bleu in Käsesauce dazu Butterreis und Salatbeilage,Fleischlos Abend,,[]
Philipps Bistro,2012-08-31,171106,"Seelachsfilet ""Sylter Art"" dazu Bratkartoffeln und Salatbeilage",Fleischgericht Abend,,[]
Philipps Bistro,2012-09-01,171111,Gemüsestrudel mit Sauce Hollandaise und Bratkartoffeln dazu Fruchtquark,Menü vegetarisch,,[]
Philipps Bistro,2012-09-01,171110,Truthahngeschnetzeltes mit Kartoffelkroketten und gemischtem Salat,Menü,,[]
Philipps Bistro,2012-09-03,171114,Rotbarschfilet mit Dillstippe,Bistro Gourmet Fisch,4.45,[]
Philipps Bistro,2012-09-03,171115,Entenbrust rosa gebraten à la orange,Bistro Gourmet Fleisch,5.35,[]
Philipps Bistro,2012-09-03,171113,Champiognköpfe in Gemüserahmsauce mit Butterreis und gemischtem Salat,Fleischlos Abend,2.75,['mit Alkohol']
Philipps Bistro,2012-09-03,171112,Putenbrust mit Rahmsauce mit Kartoffelkroketten und gemischtem Salat,Fleischgericht Abend,3.05,[]
Philipps Bistro,2012-09-04,171118,"Pangasiusfilet ""Peking Art"" mit süß-saurem Dipp",Bistro Gourmet Fisch,4.1,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
Philipps Bistro,2012-09-04,171117,Brokkolinuggets mit Cocktailsauce Bratkartoffeln mit gemischtem Salat,Fleischlos Abend,2.85,[]
Philipps Bistro,2012-09-04,187152,Fischburger Pommes frites mit gemischtem Salat,Fleischgericht Abend,3.05,[]
Philipps Bistro,2012-09-04,171119,"Putensteak ""Florida"" mit Pfirsich dazu Sauce Choron",Bistro Gourmet Fleisch,4.1,[]
Philipps Bistro,2012-09-05,171122,"Fischteller ""Hamburger Art"" mit Weißweinsauce",Bistro Gourmet Fisch,4.5,['mit Alkohol']
Philipps Bistro,2012-09-05,171121,Spaghetti Bolognaise mit Soja mit gemischtem Salat,Fleischlos Abend,2.55,['mit Alkohol']
Philipps Bistro,2012-09-05,171120,Geschnetzelte Putenbrust in Rahmsauce mit Gemüse Kartoffelrösti mit gemischtem Salat,Fleischgericht Abend,3.05,"['mit Konservierungsstoff', 'mit Phosphat', 'mit Schweinefleisch']"
Philipps Bistro,2012-09-05,177791,Schweinelendchen mit Pilzrahmsauce,Bistro Gourmet Fleisch,4.7,"['mit Alkohol', 'mit Schweinefleisch']"
Philipps Bistro,2012-09-06,171125,Blumenkohl und Broccoli mit Gnocchi in Kräutersauce mit Joghurtspeise,Fleischlos Abend,2.65,[]
Philipps Bistro,2012-09-06,171124,6 Cevapcici vom Rind mit gemischtem Salat mit Tomatenreis und Knoblauchdipp,Fleischgericht Abend,3.05,[]
Philipps Bistro,2012-09-06,171127,"Hähnchen ""involtini"" mit Tomatenconcassee",Bistro Gourmet Fleisch,4.1,[]
Philipps Bistro,2012-09-06,171126,Zanderfilet in Kräutermantel dazu Zitronenbutter,Bistro Gourmet Fisch,4.55,[]
Philipps Bistro,2012-09-07,171128,Fritierte Tintenfischringe mit Cocktailsauce mit gemischtem Salat Dessert,Fleischgericht Abend,3.05,[]
Philipps Bistro,2012-09-07,171129,Asiatische Gemüsepfanne mit Glasnudeln und Dipp mit gemischtem Salat,Fleischlos Abend,2.65,"['mit Konservierungsstoff', 'mit  Antioxidationsmittel', 'mit Geschmacksverstärker']"
Philipps Bistro,2012-09-07,171131,"Gefüllte Schweinerückentasche ""Mailänder Art"" mit Thymianjus",Bistro Gourmet Fleisch,4.2,['mit Schweinefleisch']
